DATE,CPGRLE01ATM657N
1981-05-01,0.384557232874365
1981-06-01,0.206896784220604
1981-07-01,0.59517053095565
1981-08-01,0.332524312304391
1981-09-01,0.25426446347881
1981-10-01,0.350696717073877
1981-11-01,0.254550342108776
1981-12-01,0.462882192579105
1982-01-01,0.805244606181579
1982-02-01,0.500245959773146
1982-03-01,0.78507811427965
1982-04-01,0.390607250101756
1982-05-01,0.546630220974731
1982-06-01,0.167737687335112
1982-07-01,0.923459449060607
1982-08-01,0.315998767294502
1982-09-01,0.410418887737018
1982-10-01,0.167999015135418
1982-11-01,0.268551651162087
1982-12-01,0.320655070240853
1983-01-01,0.487092669658257
1983-02-01,0.407776646632462
1983-03-01,0.148033783099464
1983-04-01,0.0977490727331068
1983-05-01,0.281630776642286
1983-06-01,0.213601406612848
1983-07-01,0.778887133676229
