DATE,CPGRLE01ATQ659N
2013-04-01,2.10392094357667
2013-07-01,1.94391332058638
2013-10-01,1.79754020813624
2014-01-01,1.83023035657936
2014-04-01,2.06056821729628
2014-07-01,2.03188496405126
2014-10-01,1.98265179677819
2015-01-01,1.85748363644617
2015-04-01,1.73493905416243
2015-07-01,1.95866495122975
2015-10-01,1.83180904044332
2016-01-01,1.88742837883388
2016-04-01,1.39906728847435
2016-07-01,1.23169107856189
2016-10-01,1.35492399206874
2017-01-01,1.62090638438635
2017-04-01,1.97109067017083
2017-07-01,2.17033870437359
2017-10-01,2.11933485490708
2018-01-01,1.98567708333333
2018-04-01,1.70747422680413
2018-07-01,1.77019633086578
2018-10-01,1.78799489144316
2019-01-01,1.65975103734441
2019-04-01,1.64713335445044
